Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
!Women Art Revolution, (2010),"$52,681",,,1 hr 23 min,,Documentary
$9.99, (2008),"$52,384","$655,970",,1 hr 18 min,R,Animation;Drama;Fantasy
Bedazzled, (1967),,,,1 hr 43 min,,Comedy;Fantasy;Romance
'71, (2014),"$1,270,847","$1,791,331",,1 hr 39 min,R,Action;Crime;Drama;Thriller;War
Transformers: Rise of the Beasts, (2023),"$157,066,392","$284,314,801",,2 hr 7 min,PG-13,Action;Adventure;Sci-Fi
If Only, (2004),"$5,275,103","$5,275,103",,1 hr 32 min,PG-13,Comedy;Drama;Fantasy;Romance
Let the Wrong One In, (2021),"$13,303","$13,303",,1 hr 40 min,,Action;Comedy;Horror
It's Alive, (2009),"$1,035,267","$1,035,267",,1 hr 20 min,R,Horror;Sci-Fi
Happy Family, (2006),"$1,271,669","$1,271,669",,1 hr 22 min,,Comedy;Romance
'Neath the Arizona Skies, (1934),,,,52 min,,Drama;Western
"'night, Mother", (1986),"$441,863",,,1 hr 36 min,PG-13,Drama
'R Xmas, (2001),$850,"$98,230",,1 hr 25 min,R,Crime;Drama;Thriller
Salem's Lot, (2024),"$851,156","$851,156",,1 hr 54 min,R,Horror;Thriller
'Til There Was You, (1997),"$3,525,125",,,1 hr 53 min,PG-13,Comedy;Romance
Till We Meet Again, (2021),"$1,714,572","$1,714,572",,2 hr 8 min,,Comedy;Drama;Fantasy;Romance
Prometheus, (2012),"$126,477,084","$276,877,385","$130,000,000",2 hr 4 min,R,Adventure;Mystery;Sci-Fi
500 Days of Summer, (2009),"$32,391,374","$28,409,070","$7,500,000",1 hr 35 min,PG-13,Comedy;Drama;Romance
(T)Raumschiff Surprise - Periode 1, (2004),"$76,341,401","$76,341,401",,1 hr 27 min,,Comedy;Sci-Fi
Deadpool & Wolverine, (2024),"$636,745,858","$701,325,490",,2 hr 8 min,R,Action;Adventure;Comedy;Sci-Fi
*batteries not included, (1987),"$32,945,797","$32,143,000",,1 hr 47 min,,Comedy;Family;Fantasy;Sci-Fi
Idiocracy, (2006),"$444,093","$51,559",,1 hr 24 min,R,Adventure;Comedy;Sci-Fi;Thriller
And God Created Woman, (1988),"$717,376",,,1 hr 38 min,,Comedy;Drama;Romance
And Justice for All, (1979),"$33,300,000",,,1 hr 59 min,,Crime;Drama;Thriller
Live and Let Die, (1973),"$35,377,836","$4,874",,2 hr 1 min,,Action;Adventure;Thriller
